| ID  | English Text                         | Telugu Answer                                 | Hindi Answer                                   | Tamil Answer                                    | Malayalam Answer                                  |,,,,,,,,
| 1   | What is your name?                  | నా పేరు రామ్.                               | मेरा नाम राम है।                               | என் பெயர் ராம்.                                | എന്റെ പേര് രാം.                                |,,,,,,,,
| 2   | Where do you live?                  | నేను హైదరాబాద్‌లో ఉంటాను.                 | मैं हैदराबाद में रहता हूँ।                     | நான் ஹைதராபாத்தில் வசிக்கிறேன்.             | ഞാൻ ഹൈദരാബാദിൽ താമസിക്കുന്നു.               |,,,,,,,,
| 3   | How old are you?                    | నేను 25 సంవత్సరాలు ఉన్నాను.                | मैं 25 साल का हूँ।                            | நான் 25 வயது.                                  | എനിക്ക് 25 വയസ്സാണ്.                             |,,,,,,,,
| 4   | What do you do for a living?        | నేను ఒక ఇంజనీర్‌గానుగా పనిచేస్తాను.      | मैं एक इंजीनियर हूँ।                          | நான் ஒரு பொறியாளர்.                          | ഞാൻ ഒരു എൻജിനീയർ ആണ്.                       |,,,,,,,,
| 5   | What is your favorite color?        | నా ప్రియమైన రంగు నీలం.                     | मेरा पसंदीदा रंग नीला है।                     | எனக்கு பிடித்த நிறம் நீலம்.                 | എനിക്ക് ഇഷ്ടമുള്ള നിറം നീലമാണ്.                |,,,,,,,,
| 6   | Do you like sports?                 | అవును, నాకు క్రీడలు ఇష్టం.                  | हां, मुझे खेल पसंद हैं।                        | ஆமாம், எனக்கு விளையாட்டு பிடிக்கும்.          | అవును, എനിക്ക് കായികങ്ങൾ ഇഷ്ടമാണ്.              |,,,,
| 7   | Can you speak English?              | అవును, నేను ఇంగ్లీష్ మాట్లాడగలను.         | हां, मैं अंग्रेजी बोल सकता हूँ।              | ஆமாம், நான் ஆங்கிலம் பேச முடியும்.            | ഹ, ഞാൻ ഇംഗ്ലീഷ് സംസാരിക്കാം.                |,,,,
| 8   | What is your profession?            | నేను ఒక డాక్టర్‌ను.                         | मैं एक डॉक्टर हूँ।                             | நான் ஒரு டாக்டர்.                              | ഞാൻ ഒരു ഡോക്ടർ ആണ്.                        |,,,,,,,,
| 9   | What is your favorite food?         | నా ప్రియమైన భోజనం బిర్యానీ.               | मेरा पसंदीदा खाना बिरयानी है।              | எனக்கு பிடித்த உணவு பிரியாணி.               | എനിക്ക് ഇഷ്ടമുള്ള ഭക്ഷണം ബിരിയാണി.            |,,,,,,,,
| 10  | Where do you work?                  | నేను ఒక సాఫ్ట్‌వేర్ కంపెనీలో పనిచేస్తాను. | मैं एक सॉफ़्टवेयर कंपनी में काम करता हूँ।    | நான் ஒரு மென்பொருள் நிறுவனத்தில் வேலை செய்கிறேன். | ഞാൻ ഒരു സോഫ്റ്റ്‌വെയർ കമ്പനിയിൽ ജോലി ചെയ്യുന്നു. |,,,,,,,,
| 11  | What is your favorite movie?         | నా ప్రియమైన సినిమా బాహుబలి.                   | मेरी पसंदीदा फिल्म बाहुबली है।                   | எனக்கு பிடித்த திரைப்படம் பாகுபலி.             | എനിക്ക് ഇഷ്ടമുള്ള സിനിമ ബാഹുബലി.               |,,,,,,,,
| 12  | What is your hometown?               | నా స్వగ్రామం విజయవాడ.                          | मेरा गृहनगर विजयवाड़ा है।                       | என் சொந்த ஊர் விஜயவாடா.                       | എന്റെ നാട്ടുകാർ വിജയവാഡയാണ്.                   |,,,,,,,,
| 13  | What is your hobby?                  | నా హాబీ చదవడం.                                | मेरा शौक पढ़ना है।                              | எனக்கு வாசிப்பது ஹாபி.                        | എന്റെ ഹോബി വായനയാണ്.                           |,,,,,,,,
| 14  | Do you have any siblings?            | అవును, నాకు ఒక అన్నయ్య, ఒక చెల్లి ఉంది.       | हां, मेरे एक भाई और एक बहन है।                   | ஆம், எனக்கு ஒரு அண்ணன், ஒரு தங்கை உள்ளது.   | ഹ, എനിക്ക് ഒരു സഹോദരൻ, ഒരു സഹോദരി ഉണ്ട്.    |,
| 15  | What is your favorite book?          | నా ప్రియమైన పుస్తకం మహాభారతం.                 | मेरी पसंदीदा किताब महाभारत है।                 | எனக்கு பிடித்த புத்தகம் மகாபாரதம்.           | എനിക്ക് ഇഷ്ടമുള്ള പുസ്തകം മഹാഭാരതമാണ്.        |,,,,,,,,
| 16  | Where did you study?                 | నేను ఢిల్లీ విశ్వవిద్యాలయంలో చదివాను.          | मैंने दिल्ली विश्वविद्यालय में पढ़ाई की।       | நான் டெல்லி பல்கலைக்கழகத்தில் படித்தேன்.    | ഞാൻ ഡെൽഹി സർവകലാശാലയിൽ പഠിച്ചു.            |,,,,,,,,
| 17  | What is your favorite season?        | నాకు వసంతం చాలా ఇష్టం.                        | मुझे वसंत ऋतु बहुत पसंद है।                      | எனக்கு வசந்தகாலம் மிகவும் பிடிக்கும்.        | എനിക്ക് വസന്തകാലം വളരെ ഇഷ്ടമാണ്.            |,,,,,,,,
| 18  | Do you like animals?                 | అవును, నాకు జంతువులు ఇష్టం.                     | हां, मुझे जानवर पसंद हैं।                       | ஆமாம், எனக்கு விலங்குகள் பிடிக்கும்.          | ഹ, എനിക്ക് മൃഗങ്ങൾ ഇഷ്ടമാണ്.                 |,,,,
